,,,,,,,,,,,,,,,,,,,,,,,,,April 1 = 1,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,69,71,72,73,74,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,107,108,109,110,112,113,114,115,116,117,121,122,125,115,116,117,118,121,122,125,,,,,,,,
nest,site,species,lat,lon,prot,estHD,pic,cov_1m,cov_5m,ad_band,ch_band,init_date,pred_type,i,j,k,NOTES,camera,cam_diff,final_fate,cam_fate,fate_date,cam_notes,2023 notes,,20-Apr,21-Apr,22-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,6-Jun,8-Jun,10-Jun,11-Jun,12-Jun,13-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,16-Jul,17-Jul,18-Jul,19-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,30-Jul,31-Jul,3-Aug,,,,,,,,,,,,,,,
1,ROCK,WIPL,29.67155,-92.85596,none,5/14/2019,Y,0,0,"P5, U6?",,,,20,20,28,"24 Apr- 1 egg, 9d, 2 eggs 5d. 28-Apr: nest washed out, 1 egg looked like new nest, but floating showed >1 day old (probably washed out of nest) no stick or cup",,,S,,,,,,3E,,,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ROJH,WIPL,29.63637,-92.7708,none,5/23/2019,Y,0,0,"T8, V0",,,GC or coyote,22,30,36,"evidence of coyote and GC in the area, but cannot define predator",,,D,,,,,,,,1E,,,,,,,3E,,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ROJH,WIPL,29.63737,-92.77457,none,5/11/2019,Y,0,0,,,,,22,22,30,"22 Apr, 1 egg, 9d, 2 eggs at 5d. 30 Apr, nest empty, stick gone. Clear signs of storm surge with photo. ",,,S,,,,,,,,3E,,,,,,,"failed, empty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ROCK,WIPL,29.67027,-92.85163,none,5/19/2019,Y,0,5,,,,,24,24,28,"24 Apr- 2 eggs, 5d. 28-Apr: nest washed out, 1 egg in wrack, no stick or nest cup",,,S,,,,,,,,,"2E, 5d",,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,RUTW,WIPL,29.76678,-93.16026,none,5/25/2019,Y,20,30,,,,cattle,26,26,29,29 Apr- nest abandoned with 2 eggs abandoned due to cattle disturbance,,,A,,,,,,,,,,,"2E, 1-2d",,,"failed, 2E",,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,RUTW,WIPL,29.76756,-93.16419,none,5/25/2019,Y,5,20,,,,,26,54,54,"24 May- KBB 2 chicks in nest, 1 egg starring. Banded the 2 chicks at nest, adults present.",,,H,,,,,,,,,,,"2E, 1-2d",,,3E,,,,3E,,,3E,,,3E,,,,,,3E,,,,,3E,,,,"2C, 1E ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RUTW,SNPL,29.77011,-93.17724,symbolic,5/16/2019-5/18/2019,Y,5,20,,,,,26,48,48,KBB nest hatched May 18- female brooding chicks at nest scrape. Both adults observed at nest on hatch day. ,,,H,,,,,,,,,,,"3E, 4d",,,3E,,,,3E,,,3E,,,"3E, installed symbolic fencing today",,,BON,BON,,3E,,"3E, 1E pipped","2C, 1E hatch day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RUTW,WIPL,29.77064,-93.1806,none,5/25/2019,Y,20,15,,,,,26,51,51,24 May- KBB nest empty but adult behavior and 2C observed at 1-4 days of age. One chick was banded at the shoreline. Pretty confident this was a successful nest. ,,,H,,,,,,,,,,,"2E, 1-2d",,,3E,,,,3E,,,3E,,,adult nest behavior while in the area installing camera ,,,,,,3E,,,,,3E,hatch day?,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,RUTW,LETE,29.76413,-93.14734,none,5/18/2019,Y,5,10,,,,,27,32,35,no eggs or adult behavior near nest scrape. Cattle tracks and ghost crabs present. ,,,F,,,,,,,,,,,,"2E, 1-2d",,,,,2E,,,"empty, failed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
