,,,,,,,,,,,,,,,,,,,,,,,April 1 = 1,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,121,122,125,128,131,134,138,141,145,148,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nest,site,species,lat,lon,prot,estHD,pic,cov_1m,cov_5m,ad_band,ch_band,pred_type,i,j,k,NOTES,camera,found,cam_diff,final_fate,cam_fate,fate_date,cam_notes,20-Apr,21-Apr,22-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,30-Jul,31-Jul,3-Aug,6-Aug,9-Aug,12-Aug,16-Aug,19-Aug,23-Aug,26-Aug,30-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,RUTW,WIPL,29.77115,-93.18078,none,5/19/2021,Y,20,30,no,,,,,,"May 19: no starring seen, didn't handle eggs. no parents in the area. May 26: no eggs in nest, parents are acting very territorial. likely hatched June 6: father in area acting territorial",,,,H,,,,,,,,,"2E, 5d",,,,3E,,,,3E,,,,3E,,,,,,3E,,,,,3E,,,3E,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,RUTE,LETE,29.75687,-93.11149,fenced,5/19/2021,N,0,0,unk,,,,,,,,,,U,,,,,,,,,,,,,,"1E, 1d",,,2E,,2E,,,,,"2E, BON",,,,2E,,,,,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,RUTE,LETE,29.75637,-93.10946,fenced,5/20/2021,N,0,0,unk,,coyote,41,41,45,,,,,D,,,,,,,,,,,,,,"1E, 1d",,,2E,,2E,,,,,2E,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005,RUTW,WIPL,29.76840,-93.16471,none,5/16/2021,Y,0,0,no,no,,,,,"May 16: 1 egg left in nest, parents were acting territorial. May 19: no eggs left in nest, parents territorial but no chicks located. 5/22: two chicks seen in area running around",,,,H,,,,,,,,,"3E, 7d",,,,nest not located,,,,3E,,,,3E,,,,,,3E,,"2C?, 1E",,,0E,,,H; 2C,,,,"0E, chicks likely in area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006,RUTW,LETE,29.77030,-93.17450,none,5/20/2021,N,,,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,"2E, 3d",,,,2E,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,RUTW,LETE,29.77032,-93.17455,none,5/21/2021,N,,,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,"2E, 2d",,,,2E,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008,RUTW,LETE,29.77083,-93.17627,none,5/23/2021,Y,,,unk,,,,,,washed out from rain; possibly buried by a couple inches of sand accumulation,,,,W,,,,,,,,,,,,,,,,,"1E, 1d",,,,2E,,,,,,,,,,,"W, 0E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009,RUTW,LETE,29.77083,-93.17630,none,5/21/2021,N,,,unk,,coyote,,,,very nearly run over by vehicles,,,,D,,,,,,,,,,,,,,,,,"2E, 2d",,,,2E,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,RUTE,LETE,29.75705,-93.11244,fenced,5/20/2021,N,,,unk,,coyote,41,41,45,,,,,D,,,,,,,,,,,,,,,,,"3E, 3d",,,,,,,"3E, BON",,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
