"","nest","site","species","status","cov_5m","i","j","k","fate_date","nest_age","cam_fate"
"1",10009,"RUTW","LETE","0,0,1",10,14,19,22,NA,NA,NA
"2",10010,"RUTW","LETE","0,0,0,0,0,0,1",5,14,31,34,NA,NA,NA
"3",10012,"RUTW","LETE","0,0,0,0,0",0,16,37,37,NA,NA,NA
"4",10021,"RUTW","LETE","0,0,0,0,0,1",NA,22,31,36,NA,NA,NA
"5",10022,"RUTW","LETE","0,0,0,0,0,0,1",NA,22,31,36,NA,NA,NA
"6",10024,"RUTW","LETE","0,0,0,0,0,0,0,1",NA,22,36,40,NA,NA,NA
"7",10025,"RUTW","LETE","0,0,0,0,0,1",NA,22,30,36,NA,NA,NA
"8",10026,"RUTW","LETE","0,0,0,0,0,1",NA,22,30,36,NA,NA,NA
"9",10027,"RUTW","LETE","0,0,0,0,0,1",NA,22,30,36,NA,NA,NA
"10",10028,"RUTW","LETE","0,0,0,0,0,1",NA,22,30,36,NA,NA,NA
"11",10029,"RUTW","LETE","0,0,0,0,0,1",NA,22,30,36,NA,NA,NA
"12",10030,"RUTW","LETE","0,0,0,0,1",NA,22,29,30,NA,NA,NA
"13",10031,"RUTW","LETE","0,0,0,0,1",NA,22,29,30,NA,NA,NA
"14",10032,"RUTW","LETE","0,0,0,0,1",NA,22,31,34,NA,NA,NA
"15",10033,"RUTW","LETE","0,0,0,0,1",NA,22,29,31,NA,NA,NA
"16",10034,"RUTW","LETE","0,0,0,0,1",NA,22,29,31,NA,NA,NA
"17",10035,"RUTW","LETE","0,0,0,0,0,0,0,0",NA,22,42,42,NA,NA,NA
"18",10036,"RUTW","LETE","0,0,0,0,0,0,0,0,0,0",NA,22,45,45,NA,NA,NA
"19",10037,"RUTW","LETE","0,0,0,0,1",NA,22,29,31,NA,NA,NA
"20",10038,"RUTW","LETE","0,1,0,0,0,0,1",NA,22,36,40,NA,NA,NA
"21",10039,"RUTW","LETE","0,0,0,1",NA,22,26,29,NA,NA,NA
"22",10040,"RUTW","LETE","0,0,0,1",NA,22,26,29,NA,NA,NA
"23",10041,"RUTW","LETE","0,0,0,1",NA,22,26,29,NA,NA,NA
"24",10042,"RUTW","LETE","0,0,1",NA,22,26,29,NA,NA,NA
"25",10043,"RUTW","LETE","0,0",NA,22,22,26,NA,NA,NA
"26",10044,"RUTW","LETE","0,1",NA,22,22,26,NA,NA,NA
"27",10045,"RUTW","LETE","0,1",NA,22,22,26,NA,NA,NA
"28",10046,"RUTW","LETE","0,1",0,22,22,26,NA,NA,NA
"29",10047,"RUTW","LETE","0,0,0,0",NA,22,30,36,36,13,1
"30",10050,"RUTW","LETE","0,1",NA,22,22,26,NA,NA,NA
"31",10051,"RUTW","LETE","0,0,1",NA,22,26,30,NA,NA,NA
"32",10052,"RUTW","LETE","0,0,1",NA,22,26,30,NA,NA,NA
"33",10053,"RUTW","LETE","0,0,1",NA,22,26,30,NA,NA,NA
"34",10054,"RUTW","LETE","0,0,1",NA,22,26,30,NA,NA,NA
"35",10055,"RUTW","LETE","0,0,1",NA,22,26,30,NA,NA,NA
"36",10056,"RUTW","LETE","0,0,1",NA,22,26,30,NA,NA,NA
"37",10070,"RUTW","LETE","0,0,1",2,23,26,32,NA,NA,NA
