"","nest","site","species","status","fate","i","j","k","final_fate","cov_5m","nest_age","cam_fate","nocc"
"1","10009","RUTW","LETE","1,0,1",1,"14","19","22","0","10",NA,NA,"99"
"2","10010","RUTW","LETE","1,0,0,0,0,0,1",1,"14","31","34","0","5",NA,NA,"99"
"3","10012","RUTW","LETE","0,0,0,0,0",0,"16","37","37","1","0",NA,NA,"99"
"4","10021","RUTW","LETE","0,0,0,0,0,1",1,"22","31","36","6",NA,NA,NA,"99"
"5","10022","RUTW","LETE","0,0,0,0,0,0,1",1,"22","31","36","6",NA,NA,NA,"99"
"6","10024","RUTW","LETE","0,0,0,0,0,0,0,1",1,"22","36","40","6",NA,NA,NA,"99"
"7","10025","RUTW","LETE","0,0,0,0,0,1",1,"22","30","36","6",NA,NA,NA,"99"
"8","10026","RUTW","LETE","0,0,0,0,0,1",1,"22","30","36","6",NA,NA,NA,"99"
"9","10027","RUTW","LETE","0,0,0,0,0,1",1,"22","30","36","6",NA,NA,NA,"99"
"10","10028","RUTW","LETE","0,0,0,0,0,1",1,"22","30","36","6",NA,NA,NA,"99"
"11","10029","RUTW","LETE","0,0,0,0,0,1",1,"22","30","36","6",NA,NA,NA,"99"
"12","10030","RUTW","LETE","0,0,0,0,1",1,"22","29","30","6",NA,NA,NA,"99"
"13","10031","RUTW","LETE","0,0,0,0,1",1,"22","29","30","6",NA,NA,NA,"99"
"14","10032","RUTW","LETE","0,0,0,0,1",1,"22","31","34","6",NA,NA,NA,"99"
"15","10033","RUTW","LETE","0,0,0,0,1",1,"22","29","31","6",NA,NA,NA,"99"
"16","10034","RUTW","LETE","0,0,0,0,1",1,"22","29","31","6",NA,NA,NA,"99"
"17","10035","RUTW","LETE","0,0,0,0,0,0,0,0",0,"22","42","42","1",NA,NA,NA,"99"
"18","10036","RUTW","LETE","0,0,0,0,0,0,0,0,0,0",0,"22","45","45","1",NA,NA,NA,"99"
"19","10037","RUTW","LETE","0,0,0,0,1",1,"22","29","31","6",NA,NA,NA,"99"
"20","10038","RUTW","LETE","0,0,0,0,0,1",1,"22","36","40","6",NA,NA,NA,"99"
"21","10039","RUTW","LETE","0,0,0,1",1,"22","26","29","0",NA,NA,NA,"99"
"22","10040","RUTW","LETE","0,0,0,1",1,"22","26","29","6",NA,NA,NA,"99"
"23","10041","RUTW","LETE","0,0,0,1",1,"22","26","29","6",NA,NA,NA,"99"
"24","10042","RUTW","LETE","0,0,1",1,"22","26","29","6",NA,NA,NA,"99"
"25","10043","RUTW","LETE","0,1",1,"22","22","26","6",NA,NA,NA,"99"
"26","10044","RUTW","LETE","0,1",1,"22","22","26","6",NA,NA,NA,"99"
"27","10045","RUTW","LETE","0,1",1,"22","22","26","6",NA,NA,NA,"99"
"28","10046","RUTW","LETE","0,1",1,"22","22","26","3","0",NA,NA,"99"
"29","10047","RUTW","LETE","0,0,0,0",1,"22","30","36","6",NA,"13","1","99"
"30","10050","RUTW","LETE","0,1",1,"22","22","26","4",NA,NA,NA,"99"
"31","10051","RUTW","LETE","0,0,1",1,"22","26","30","0",NA,NA,NA,"99"
"32","10052","RUTW","LETE","0,0,1",1,"22","26","30","0",NA,NA,NA,"99"
"33","10053","RUTW","LETE","0,0,1",1,"22","26","30","6",NA,NA,NA,"99"
"34","10054","RUTW","LETE","0,0,1",1,"22","26","30","2",NA,NA,NA,"99"
"35","10055","RUTW","LETE","0,0,1",1,"22","26","30","2",NA,NA,NA,"99"
"36","10056","RUTW","LETE","0,0,1",1,"22","26","30","2",NA,NA,NA,"99"
"37","10070","RUTW","LETE","0,0,1",1,"23","26","32","4","2",NA,NA,"99"
"38","10071","RUTW","LETE","0,1",1,"23","23","26","2","0",NA,NA,"99"
"39","10072","RUTW","LETE","0,0,0,0,0",0,"23","41","41","1","10","19","1","99"
"40","10075","RUTW","LETE","0,1",1,"23","23","32","0",NA,NA,NA,"99"
"41","10077","RUTW","LETE","0,0,0",0,"23","37","37","1","0",NA,NA,"99"
"42","10087","RUTW","CONI","0,0,0,0,1",1,"26","40","45","5","95",NA,NA,"99"
"43","10088","RUTW","LETE","0,0,0,0,0,0,0,0,1",1,"26","40","41","0","20",NA,NA,"99"
"44","10102","RUTW","LETE","0,0,1",1,"41","46","50","2","10",NA,NA,"99"
"45","10103","RUTW","LETE","0,1",1,"42","42","43","5","5",NA,NA,"99"
"46","10108","RUTW","LETE","0,0,0,1",1,"45","51","58","0","5",NA,"7","99"
"47","10109","RUTW","LETE","0,0,0,0,1",1,"45","51","58","0","5",NA,NA,"99"
"48","10113","RUTE","CONI","0,0,1",1,"51","54","60","4","80",NA,NA,"99"
"49","10114","RUTE","CONI","0,0",0,"51","52","52","1","80",NA,NA,"99"
"50","10115","RUTE","CONI","0,0,0,0",0,"51","69","69","1","75",NA,NA,"99"
"51","10124","RUTE","LETE","0,1",1,"60","60","64","2",NA,NA,NA,"99"
"52","10125","RUTW","LETE","0,0,1",1,"60","64","69","2",NA,NA,NA,"99"
"53","10126","RUTW","LETE","0,0,0,1",1,"60","69","60","4",NA,"0","6","99"
"54","10150","RUTW","CONI","0,0",0,"71","74","74","1","70",NA,NA,"99"
"55","10153","RUTE","CONI","0,0,0,0,0,0,1",1,"86","96","99","4","75",NA,NA,"99"
"56","10175","RUTW","CONI","0,0,0,0,0",0,"86","103","103","1","25",NA,NA,"99"
"57","10211","RUTW","LETE","0,0,0,0,0",0,"20","41","41","1","5",NA,NA,"99"
"58","10213","RUTW","LETE","0,1",1,"20","20","23","5","5",NA,NA,"99"
"59","10220","RUTW","LETE","0,0,0,0,0",0,"20","41","41","1","5",NA,NA,"99"
"60","10223","RUTW","LETE","0,0,0,1",1,"37","46","48","0",NA,"16","6","99"
"61","10224","RUTW","LETE","0,1",1,"32","32","37","4",NA,NA,NA,"99"
"62","10226","RUTW","LETE","0,1",1,"41","41","46","0",NA,NA,NA,"99"
"63","10227","RUTW","LETE","0,0,0,0",0,"37","54","54","1",NA,NA,NA,"99"
"64","10228","RUTW","LETE","0,1",1,"37","37","41","0",NA,NA,NA,"99"
"65","10230","RUTW","LETE","0,0,0,1",1,"37","46","50","0",NA,NA,NA,"99"
"66","10233","RUTW","LETE","0,0,0,0,0,0",0,"37","60","60","1",NA,NA,NA,"99"
"67","10236","RUTE","LETE","1,0,0,0,0",0,"45","58","58","1",NA,NA,NA,"99"
"68","10237","RUTE","LETE","1,1",1,"39","39","45","5",NA,NA,NA,"99"
"69","10238","RUTE","LETE","1,0,0,0,0",0,"45","60","60","1",NA,NA,NA,"99"
"70","10239","RUTE","CONI","1,0,0",0,"39","51","51","1",NA,NA,NA,"99"
"71","10241","RUTW","LETE","0,0,0,0,0,1",0,"26","50","50","1","40","20","2","99"
"72","10247","RUTW","LETE","0,0,0,1",1,"32","41","46","5",NA,NA,NA,"99"
"73","10249","RUTW","LETE","0,0,1",1,"32","37","46","5",NA,NA,NA,"99"
"74","10252","RUTW","CONI","0,1,0,0",0,"37","50","50","1",NA,NA,NA,"99"
"75","10254","RUTW","LETE","0,0,0,0,1",1,"32","46","50","6",NA,NA,NA,"99"
"76","10255","RUTW","LETE","0,0,0,0,0,0",0,"32","51","51","1",NA,NA,NA,"99"
"77","10256","RUTW","LETE","0,0,0,0,1",1,"32","46","48","0",NA,"20","2","99"
"78","10257","RUTW","LETE","0,0,0,0,1",1,"32","46","48","0",NA,"16","2","99"
"79","10260","RUTE","LETE","0,1,0,1",1,"39","45","51","4","40",NA,NA,"99"
"80","10261","RUTE","LETE","0,1,0,1",1,"39","45","51","4","40",NA,NA,"99"
"81","10262","RUTE","LETE","0,1,0,1",1,"39","45","51","4","40",NA,NA,"99"
