"","nest","site","species","status","cov_5m","final_fate","i","j","k","nest_age"
"1",10009,"RUTW","LETE","0,0,1",10,0,14,19,22,NA
"2",10010,"RUTW","LETE","0,0,0,0,0,0,1",5,0,14,31,34,NA
"3",10012,"RUTW","LETE","0,0,0,0,0",0,1,16,37,37,NA
"4",10021,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,31,36,NA
"5",10022,"RUTW","LETE","0,0,0,0,0,0,1",NA,6,22,31,36,NA
"6",10024,"RUTW","LETE","0,0,0,0,0,0,0,1",NA,6,22,36,40,NA
"7",10025,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,30,36,NA
"8",10026,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,30,36,NA
"9",10027,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,30,36,NA
"10",10028,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,30,36,NA
"11",10029,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,30,36,NA
"12",10030,"RUTW","LETE","0,0,0,0,1",NA,6,22,29,30,NA
"13",10031,"RUTW","LETE","0,0,0,0,1",NA,6,22,29,30,NA
"14",10032,"RUTW","LETE","0,0,0,0,1",NA,6,22,31,34,NA
"15",10033,"RUTW","LETE","0,0,0,0,1",NA,6,22,29,31,NA
"16",10034,"RUTW","LETE","0,0,0,0,1",NA,6,22,29,31,NA
"17",10035,"RUTW","LETE","0,0,0,0,0,0,0,0",NA,1,22,42,42,NA
"18",10036,"RUTW","LETE","0,0,0,0,0,0,0,0,0,0",NA,1,22,45,45,NA
"19",10037,"RUTW","LETE","0,0,0,0,1",NA,6,22,29,31,NA
"20",10038,"RUTW","LETE","0,1,0,0,0,0,1",NA,6,22,36,40,NA
"21",10039,"RUTW","LETE","0,0,0,1",NA,0,22,26,29,NA
"22",10040,"RUTW","LETE","0,0,0,1",NA,6,22,26,29,NA
"23",10041,"RUTW","LETE","0,0,0,1",NA,6,22,26,29,NA
"24",10042,"RUTW","LETE","0,0,1",NA,6,22,26,29,NA
"25",10043,"RUTW","LETE","0,0",NA,6,22,22,26,NA
"26",10044,"RUTW","LETE","0,1",NA,6,22,22,26,NA
"27",10045,"RUTW","LETE","0,1",NA,6,22,22,26,NA
"28",10046,"RUTW","LETE","0,1",0,3,22,22,26,NA
"29",10047,"RUTW","LETE","0,0,0,1",NA,6,22,30,36,13
"30",10050,"RUTW","LETE","0,1",NA,4,22,22,26,NA
"31",10051,"RUTW","LETE","0,0,1",NA,0,22,26,30,NA
"32",10052,"RUTW","LETE","0,0,1",NA,0,22,26,30,NA
"33",10053,"RUTW","LETE","0,0,1",NA,6,22,26,30,NA
"34",10054,"RUTW","LETE","0,0,1",NA,2,22,26,30,NA
"35",10055,"RUTW","LETE","0,0,1",NA,2,22,26,30,NA
"36",10056,"RUTW","LETE","0,0,1",NA,2,22,26,30,NA
"37",10070,"RUTW","LETE","0,0,1",2,4,23,26,32,NA
"38",10071,"RUTW","LETE","0,1",0,2,23,23,26,NA
"39",10072,"RUTW","LETE","0,0,0,0,0",10,1,23,41,41,19
"40",10075,"RUTW","LETE","0,1",NA,0,23,23,32,NA
"41",10077,"RUTW","LETE","0,0,0",0,1,23,37,37,NA
"42",10087,"RUTW","CONI","0,0,0,0,1",95,5,26,40,45,NA
"43",10088,"RUTW","LETE","0,0,0,0,0,0,0,0,1",20,0,26,40,41,NA
"44",10102,"RUTW","LETE","0,0,1",10,2,41,46,50,NA
"45",10103,"RUTW","LETE","0,1",5,5,42,42,43,NA
"46",10108,"RUTW","LETE","0,0,0,1",5,0,45,51,58,NA
"47",10109,"RUTW","LETE","0,0,0,0,1",5,0,45,51,58,NA
"48",10113,"RUTE","CONI","0,0,1",80,4,51,54,60,NA
"49",10114,"RUTE","CONI","0,0",80,1,51,52,52,NA
"50",10115,"RUTE","CONI","0,0,0,1,0",75,1,51,69,69,NA
"51",10124,"RUTE","LETE","0,1",NA,2,60,60,64,NA
"52",10125,"RUTW","LETE","0,0,1",NA,2,60,64,69,NA
"53",10126,"RUTW","LETE","0,0,0,1",NA,4,60,69,74,0
"54",10150,"RUTW","CONI","0,0",70,1,71,74,74,NA
"55",10153,"RUTE","CONI","0,0,0,0,0,0,1",75,4,86,96,99,NA
"56",10175,"RUTW","CONI","0,0,0,0,0",25,1,86,103,103,NA
"57",10211,"RUTW","LETE","0,0,0,0,0",5,1,20,41,41,NA
"58",10213,"RUTW","LETE","0,1",5,5,20,20,23,NA
"59",10220,"RUTW","LETE","0,0,0,0,0",5,1,20,41,41,NA
"60",10223,"RUTW","LETE","0,0,0,1",NA,0,37,46,50,16
"61",10224,"RUTW","LETE","0,1",NA,4,32,32,37,NA
"62",10226,"RUTW","LETE","0,1",NA,0,41,41,46,NA
"63",10227,"RUTW","LETE","0,0,0,0",NA,1,37,54,54,NA
"64",10228,"RUTW","LETE","0,1",NA,0,37,37,41,NA
"65",10230,"RUTW","LETE","0,0,0,1",NA,0,37,46,50,NA
"66",10233,"RUTW","LETE","0,0,0,0,0,0",NA,1,37,60,60,NA
"67",10236,"RUTE","LETE","0,0,0,0,0",NA,1,45,58,58,NA
"68",10237,"RUTE","LETE","0,1",NA,5,39,39,45,NA
"69",10238,"RUTE","LETE","0,0,0,0,0",NA,1,45,60,60,NA
"70",10239,"RUTE","CONI","0,0,0",NA,1,39,51,51,NA
"71",10241,"RUTW","LETE","0,0,0,0,0,0",40,1,26,50,50,20
"72",10247,"RUTW","LETE","0,0,0,1",NA,5,32,41,46,NA
"73",10249,"RUTW","LETE","0,0,1",NA,5,32,37,46,NA
"74",10252,"RUTW","CONI","0,1,0,0",NA,1,37,50,50,NA
"75",10254,"RUTW","LETE","0,0,0,0,1",NA,6,32,46,50,NA
"76",10255,"RUTW","LETE","0,0,0,0,0,0",NA,1,32,51,51,NA
"77",10256,"RUTW","LETE","0,0,0,0,1",NA,0,32,46,50,20
"78",10257,"RUTW","LETE","0,0,0,0,1",NA,0,32,46,50,16
"79",10260,"RUTE","LETE","0,0,0,1",40,4,39,45,51,NA
"80",10261,"RUTE","LETE","0,0,0,1",40,4,39,45,51,NA
"81",10262,"RUTE","LETE","0,0,0,1",40,4,39,45,51,NA
"82",10263,"RUTE","LETE","0,0,0,0",40,1,45,50,50,NA
"83",10264,"RUTE","LETE","0,0,0,0",40,1,45,50,50,NA
"84",10265,"RUTE","LETE","0,0,0,0",40,1,45,51,51,NA
"85",10268,"RUTW","LETE","0,0,1",NA,5,36,40,45,NA
"86",10269,"RUTE","LETE","0,0,0,0",NA,1,39,54,54,NA
"87",10270,"RUTE","LETE","0,0,0",NA,1,39,49,49,NA
"88",10271,"RUTE","CONI","0,0",NA,1,39,45,45,NA
"89",10273,"RUTE","LETE","0,1",30,4,39,39,51,NA
"90",10275,"RUTW","LETE","0,0,0,0,0",20,5,40,47,51,NA
"91",10277,"RUTW","LETE","0,1",30,5,40,40,43,NA
