"","nest","site","species","status","fate","final_fate","i","j","k","cov_5m","nest_age","nocc"
"1","10009","RUTW","LETE","0,0,1",1,"0","14","19","22","10",NA,"99"
"2","10010","RUTW","LETE","0,0,0,0,0,0,1",1,"0","14","31","34","5",NA,"99"
"3","10012","RUTW","LETE","0,0,0,0,0",0,"1","16","37","37","0",NA,"99"
"4","10021","RUTW","LETE","0,0,0,0,0,1",1,"6","22","31","36",NA,NA,"99"
"5","10022","RUTW","LETE","0,0,0,0,0,0,1",1,"6","22","31","36",NA,NA,"99"
"6","10024","RUTW","LETE","0,0,0,0,0,0,0,1",1,"6","22","36","40",NA,NA,"99"
"7","10025","RUTW","LETE","0,0,0,0,0,1",1,"6","22","30","36",NA,NA,"99"
"8","10026","RUTW","LETE","0,0,0,0,0,1",1,"6","22","30","36",NA,NA,"99"
"9","10027","RUTW","LETE","0,0,0,0,0,1",1,"6","22","30","36",NA,NA,"99"
"10","10028","RUTW","LETE","0,0,0,0,0,1",1,"6","22","30","36",NA,NA,"99"
"11","10029","RUTW","LETE","0,0,0,0,0,1",1,"6","22","30","36",NA,NA,"99"
"12","10030","RUTW","LETE","0,0,0,0,1",1,"6","22","29","30",NA,NA,"99"
"13","10031","RUTW","LETE","0,0,0,0,1",1,"6","22","29","30",NA,NA,"99"
"14","10032","RUTW","LETE","0,0,0,0,1",1,"6","22","31","34",NA,NA,"99"
"15","10033","RUTW","LETE","0,0,0,0,1",1,"6","22","29","31",NA,NA,"99"
"16","10034","RUTW","LETE","0,0,0,0,1",1,"6","22","29","31",NA,NA,"99"
"17","10035","RUTW","LETE","0,0,0,0,0,0,0,0",0,"1","22","42","42",NA,NA,"99"
"18","10036","RUTW","LETE","0,0,0,0,0,0,0,0,0,0",0,"1","22","45","45",NA,NA,"99"
"19","10037","RUTW","LETE","0,0,0,0,1",1,"6","22","29","31",NA,NA,"99"
"20","10038","RUTW","LETE","0,1,0,0,0,0,1",1,"6","22","36","40",NA,NA,"99"
"21","10039","RUTW","LETE","0,0,0,1",1,"0","22","26","29",NA,NA,"99"
"22","10040","RUTW","LETE","0,0,0,1",1,"6","22","26","29",NA,NA,"99"
"23","10041","RUTW","LETE","0,0,0,1",1,"6","22","26","29",NA,NA,"99"
"24","10042","RUTW","LETE","0,0,1",1,"6","22","26","29",NA,NA,"99"
"25","10043","RUTW","LETE","0,1",1,"6","22","22","26",NA,NA,"99"
"26","10044","RUTW","LETE","0,1",1,"6","22","22","26",NA,NA,"99"
"27","10045","RUTW","LETE","0,1",1,"6","22","22","26",NA,NA,"99"
"28","10046","RUTW","LETE","0,1",1,"3","22","22","26","0",NA,"99"
"29","10047","RUTW","LETE","0,0,0,1",1,"6","22","30","36",NA,"13","99"
"30","10050","RUTW","LETE","0,1",1,"4","22","22","26",NA,NA,"99"
"31","10051","RUTW","LETE","0,0,1",1,"0","22","26","30",NA,NA,"99"
"32","10052","RUTW","LETE","0,0,1",1,"0","22","26","30",NA,NA,"99"
"33","10053","RUTW","LETE","0,0,1",1,"6","22","26","30",NA,NA,"99"
"34","10054","RUTW","LETE","0,0,1",1,"2","22","26","30",NA,NA,"99"
"35","10055","RUTW","LETE","0,0,1",1,"2","22","26","30",NA,NA,"99"
"36","10056","RUTW","LETE","0,0,1",1,"2","22","26","30",NA,NA,"99"
"37","10070","RUTW","LETE","0,0,1",1,"4","23","26","32","2",NA,"99"
"38","10071","RUTW","LETE","0,1",1,"2","23","23","26","0",NA,"99"
"39","10072","RUTW","LETE","0,0,0,0,0",0,"1","23","41","41","10","19","99"
"40","10075","RUTW","LETE","0,1",1,"0","23","23","32",NA,NA,"99"
"41","10077","RUTW","LETE","0,0,0",0,"1","23","37","37","0",NA,"99"
"42","10087","RUTW","CONI","0,0,0,0,1",1,"5","26","40","45","95",NA,"99"
"43","10088","RUTW","LETE","0,0,0,0,0,0,0,0,1",1,"0","26","40","41","20",NA,"99"
"44","10102","RUTW","LETE","0,0,1",1,"2","41","46","50","10",NA,"99"
"45","10103","RUTW","LETE","0,1",1,"5","42","42","43","5",NA,"99"
"46","10108","RUTW","LETE","0,0,0,1",1,"0","45","51","58","5",NA,"99"
"47","10109","RUTW","LETE","0,0,0,0,1",1,"0","45","51","58","5",NA,"99"
"48","10113","RUTE","CONI","0,0,1",1,"4","51","54","60","80",NA,"99"
"49","10114","RUTE","CONI","0,0",0,"1","51","52","52","80",NA,"99"
"50","10115","RUTE","CONI","0,0,0,1,0",0,"1","51","69","69","75",NA,"99"
"51","10124","RUTE","LETE","0,1",1,"2","60","60","64",NA,NA,"99"
"52","10125","RUTW","LETE","0,0,1",1,"2","60","64","69",NA,NA,"99"
"53","10126","RUTW","LETE","0,0,0,1",1,"4","60","69","74",NA,"0","99"
"54","10150","RUTW","CONI","0,0",0,"1","71","74","74","70",NA,"99"
"55","10153","RUTE","CONI","0,0,0,0,0,0,1",1,"4","86","96","99","75",NA,"99"
"56","10175","RUTW","CONI","0,0,0,0,0",0,"1","86","103","103","25",NA,"99"
"57","10211","RUTW","LETE","0,0,0,0,0",0,"1","20","41","41","5",NA,"99"
"58","10213","RUTW","LETE","0,1",1,"5","20","20","23","5",NA,"99"
"59","10220","RUTW","LETE","0,0,0,0,0",0,"1","20","41","41","5",NA,"99"
"60","10223","RUTW","LETE","0,0,0,1",1,"0","37","46","50",NA,"16","99"
