"nest","site","species","status","cov_5m","fate_date","nest_age","obs_int","i","j","k","final_fate","cam_fate","year","hatchfail","c_hatchfail","was_mis","misclass","how_mis"
10047,"RUTW","LETE","1|1|1|0",NA,36,13,6,9,17,23,6,1,2019,0,1,1,0,"M"
10072,"RUTW","LETE","1|1|1|1|1",10,41,19,4,10,28,28,1,1,2019,1,1,0,1,"C"
10122,"RUTE","LETE","1|1|0",NA,NA,NA,4,47,52,56,7,NA,2019,7,7,NA,NA,NA
10126,"RUTW","LETE","1|1|1|1",NA,60,0,5,47,56,61,4,6,2019,0,0,0,0,"M"
10127,"RUTW","LETE","1|1|1|1|0",NA,75,18,4,47,61,65,8,1,2019,7,1,1,0,"N"
10210,"RUTW","LETE","1|1|1|1|1|0",5,41,21,5,7,28,33,7,1,2019,7,1,1,0,"N"
10223,"RUTW","LETE","1|1|1|0",NA,48,16,4,24,33,37,0,6,2019,0,0,0,0,"M"
10225,"RUTW","LETE","1|1|1|1|1|0",NA,52,21,10,17,37,37,7,1,2019,7,1,1,0,"N"
10226,"RUTW","LETE","1|0",NA,NA,NA,5,28,28,33,0,NA,2019,0,7,NA,NA,NA
10229,"RUTW","LETE","1|1|0",NA,43,NA,5,24,28,33,7,1,2019,7,1,1,0,"N"
10234,"RUTW","LETE","1|1|1|1|1|1|0",NA,56,24,4,24,43,47,7,4,2019,7,0,1,0,"N"
10235,"RUTW","LETE","1|1|0",NA,NA,NA,5,24,28,33,7,NA,2019,7,7,NA,NA,NA
10240,"RUTW","LETE","1|0|0|0",40,34,11,4,13,13,19,7,2,2019,7,0,1,0,"N"
10241,"RUTW","LETE","1|1|1|1|1|1",40,50,20,4,13,37,37,1,2,2019,1,0,1,0,"M"
10242,"RUTW","LETE","1|0",5,37,10,11,13,NA,NA,7,2,2019,7,0,1,0,"N"
10256,"RUTW","LETE","1|1|1|1|0",NA,48,20,4,19,33,37,0,2,2019,0,0,0,0,"M"
10257,"RUTW","LETE","1|1|1|1|0",NA,48,16,4,19,33,37,0,2,2019,0,0,0,0,"M"
10258,"RUTW","LETE","1|1|1|0",NA,48,15,5,19,28,33,7,2,2019,7,0,1,0,"N"
10288,"RUTW","LETE","1|1|1|1|1",30,64,22,4,33,51,51,1,1,2019,1,1,0,1,"C"
10298,"RUTW","LETE","1|1|0",30,56,10,4,37,37,45,0,0,2019,0,0,0,1,"C"
10299,"RUTW","LETE","1|1|1|1|1|0",30,65,19,6,37,50,56,7,1,2019,7,1,1,0,"N"
10307,"RUTW","LETE","1|0",40,53,2,7,38,38,45,0,0,2019,0,0,0,1,"C"
10308,"RUTW","LETE","1|0",40,52,4,7,38,38,45,0,4,2019,0,0,0,0,"M"
10310,"RUTE","LETE","1|1|1|1",30,81,19,7,52,68,68,1,1,2019,1,1,0,1,"C"
10311,"RUTE","LETE","1|1|0",NA,69,19,5,52,61,61,1,1,2019,1,1,0,1,"C"
10317,"RUTW","LETE","1",20,NA,NA,0,56,NA,NA,7,NA,2019,7,7,NA,NA,NA
10319,"RUTW","LETE","0|1|1|1",NA,77,21,1,55,64,64,1,1,2019,1,1,0,1,"C"
10322,"RUTW","LETE","1|1|0",NA,78,9,4,56,61,65,6,6,2019,0,0,0,1,"C"
10323,"RUTW","LETE","1|1|1|1|0",NA,80,18,6,49,68,68,7,1,2019,7,1,1,0,"N"
10325,"RUTW","LETE","1|1|1|0",NA,NA,NA,9,56,65,74,7,NA,2019,7,7,NA,NA,NA
10326,"RUTW","LETE","1|1|1|0",NA,NA,NA,9,56,65,74,7,NA,2019,7,7,NA,NA,NA
10327,"RUTW","LETE","1|1|1|0",NA,NA,NA,9,56,65,74,7,NA,2019,7,7,NA,NA,NA
10329,"RUTE","LETE","1|1|1|1|1|1|0",NA,91,21,5,56,76,81,0,3,2019,0,0,0,0,"M"
10334,"RUTW","LETE","1|1|0",NA,75,16,10,56,62,72,7,4,2019,7,0,1,0,"N"
10338,"RUTW","LETE","1|1|0",NA,NA,NA,8,74,74,82,3,NA,2019,0,7,NA,NA,NA
10339,"RUTW","LETE","1|1|0",NA,91,NA,8,74,74,82,3,3,2019,0,0,0,1,"C"
10340,"RUTW","CONI","1",NA,NA,NA,0,NA,NA,NA,7,NA,2019,7,7,NA,NA,NA
10353,"RUTE","LETE","1|1|1|1|1|1|1",40,75,NA,5,73,90,95,4,4,2019,0,0,0,1,"C"
10355,"RUTW","CONI","1|1|0",70,101,12,8,76,82,90,0,6,2019,0,0,0,0,"M"
10356,"RUTW","LETE","1|1|1|0",NA,92,10,6,73,76,82,3,6,2019,0,0,0,0,"M"
10357,"RUTW","LETE","1|1|1|0",NA,87,17,6,73,76,82,4,4,2019,0,0,0,1,"C"
10358,"RUTW","LETE","1|1",NA,89,19,3,73,76,76,1,2,2019,1,0,1,0,"M"
10359,"RUTW","LETE","1|1|0",15,92,NA,6,73,76,82,3,3,2019,0,0,0,1,"C"
10360,"RUTW","CONI","1|1|0|0",NA,101,3,1,82,89,90,6,6,2019,0,0,0,1,"C"
