"site","species","lat","lon","prot","estHD","cov_1m","cov_5m","i","j","k","camera","final_fate","cam_fate","fate_date","year","season_day","status","last_obs","same_ID","obs_int","init_date","nest_age"
"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",18,1,NA,2,0,17,NA
"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",21,1,NA,0,3,17,NA
"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",23,1,NA,0,2,17,NA
"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",28,1,NA,0,5,17,NA
"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",32,1,NA,0,4,17,NA
"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",40,0,NA,0,8,17,NA
"RUTE","LETE","29.75637","-93.10946","fenced",37,0,0,28,28,32,NA,2,NA,NA,"2021",18,1,FALSE,1,0,18,NA
"RUTE","LETE","29.75637","-93.10946","fenced",37,0,0,28,28,32,NA,2,NA,NA,"2021",21,1,FALSE,0,3,18,NA
"RUTE","LETE","29.75637","-93.10946","fenced",37,0,0,28,28,32,NA,2,NA,NA,"2021",23,1,FALSE,0,2,18,NA
"RUTE","LETE","29.75637","-93.10946","fenced",37,0,0,28,28,32,NA,2,NA,NA,"2021",28,1,FALSE,0,5,18,NA
"RUTE","LETE","29.75637","-93.10946","fenced",37,0,0,28,28,32,NA,2,NA,NA,"2021",32,0,TRUE,0,4,18,NA
"RUTW","LETE","29.77030","-93.17450","none",37,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",21,1,NA,1,0,18,NA
"RUTW","LETE","29.77030","-93.17450","none",37,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",25,1,NA,0,4,18,NA
"RUTW","LETE","29.77030","-93.17450","none",37,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",31,0,NA,0,6,18,NA
"RUTW","LETE","29.77032","-93.17455","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",21,1,NA,1,0,19,NA
"RUTW","LETE","29.77032","-93.17455","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",25,1,NA,0,4,19,NA
"RUTW","LETE","29.77032","-93.17455","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",31,0,NA,0,6,19,NA
"RUTW","LETE","29.77083","-93.17627","none",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021",21,1,NA,1,0,21,NA
"RUTW","LETE","29.77083","-93.17627","none",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021",25,1,NA,0,4,21,NA
"RUTW","LETE","29.77083","-93.17630","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",21,1,NA,1,0,19,NA
"RUTW","LETE","29.77083","-93.17630","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",25,1,NA,0,4,19,NA
"RUTW","LETE","29.77083","-93.17630","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",31,0,NA,0,6,19,NA
"RUTE","LETE","29.75705","-93.11244","fenced",37,NA,NA,28,28,32,NA,2,NA,NA,"2021",21,1,FALSE,1,0,18,NA
"RUTE","LETE","29.75705","-93.11244","fenced",37,NA,NA,28,28,32,NA,2,NA,NA,"2021",28,1,FALSE,0,7,18,NA
"RUTE","LETE","29.75705","-93.11244","fenced",37,NA,NA,28,28,32,NA,2,NA,NA,"2021",32,0,TRUE,0,4,18,NA
"RUTW","LETE","29.77003","-93.17354","none",37,5,20,NA,NA,NA,NA,2,NA,NA,"2021",25,1,NA,1,0,18,NA
"RUTW","LETE","29.77003","-93.17354","none",37,5,20,NA,NA,NA,NA,2,NA,NA,"2021",31,0,NA,0,6,18,NA
"RUTW","LETE","29.77016","-93.17475","none",40,35,30,NA,NA,NA,NA,2,NA,NA,"2021",25,1,NA,1,0,21,NA
"RUTW","LETE","29.77016","-93.17475","none",40,35,30,NA,NA,NA,NA,2,NA,NA,"2021",31,0,NA,0,6,21,NA
"RUTW","LETE","29.77093","-93.17643","none",44,0,0,NA,NA,NA,NA,2,NA,NA,"2021",25,1,NA,1,0,25,NA
"RUTW","LETE","29.77093","-93.17643","none",44,0,0,NA,NA,NA,NA,2,NA,NA,"2021",31,0,NA,0,6,25,NA
"RUTW","LETE","29.77118","-93.17663","none",40,0,0,NA,NA,NA,NA,2,NA,NA,"2021",25,1,NA,1,0,21,NA
"RUTW","LETE","29.77118","-93.17663","none",40,0,0,NA,NA,NA,NA,2,NA,NA,"2021",31,0,NA,0,6,21,NA
"RUTW","LETE","29.77140","-93.17717","none",39,0,0,NA,NA,NA,NA,2,NA,NA,"2021",25,1,NA,1,0,20,NA
"RUTW","LETE","29.77140","-93.17717","none",39,0,0,NA,NA,NA,NA,2,NA,NA,"2021",31,0,NA,0,6,20,NA
"RUTW","LETE","29.77094","-93.17862","none",44,15,10,NA,NA,NA,NA,2,NA,NA,"2021",25,1,NA,1,0,25,NA
"RUTW","LETE","29.77094","-93.17862","none",44,15,10,NA,NA,NA,NA,2,NA,NA,"2021",31,0,NA,0,6,25,NA
"RUTE","LETE","29.75930","-93.12078","fenced",47,NA,NA,28,49,49,NA,1,NA,NA,"2021",28,1,FALSE,1,0,28,NA
"RUTE","LETE","29.75930","-93.12078","fenced",47,NA,NA,28,49,49,NA,1,NA,NA,"2021",36,1,FALSE,0,8,28,NA
"RUTE","LETE","29.75930","-93.12078","fenced",47,NA,NA,28,49,49,NA,1,NA,NA,"2021",40,1,FALSE,0,4,28,NA
"RUTE","LETE","29.75930","-93.12078","fenced",47,NA,NA,28,49,49,NA,1,NA,NA,"2021",43,1,FALSE,0,3,28,NA
"RUTE","LETE","29.75930","-93.12078","fenced",47,NA,NA,28,49,49,NA,1,NA,NA,"2021",49,1,TRUE,0,6,28,NA
"RUTE","LETE","29.75696","-93.11217","fenced",48,NA,NA,28,28,32,TRUE,2,2,30,"2021",28,1,FALSE,1,0,29,1
"RUTE","LETE","29.75696","-93.11217","fenced",48,NA,NA,28,28,32,TRUE,2,2,30,"2021",32,0,TRUE,0,4,29,1
"RUTE","LETE","29.75695","-93.11207","fenced",50,NA,NA,28,28,32,NA,2,NA,NA,"2021",28,1,FALSE,1,0,31,NA
"RUTE","LETE","29.75695","-93.11207","fenced",50,NA,NA,28,28,32,NA,2,NA,NA,"2021",32,0,TRUE,0,4,31,NA
"RUTE","LETE","29.75692","-93.11185","fenced",50,NA,NA,28,32,40,NA,0,NA,NA,"2021",28,1,FALSE,1,0,31,NA
"RUTE","LETE","29.75692","-93.11185","fenced",50,NA,NA,28,32,40,NA,0,NA,NA,"2021",32,1,FALSE,0,4,31,NA
"RUTE","LETE","29.75692","-93.11185","fenced",50,NA,NA,28,32,40,NA,0,NA,NA,"2021",40,0,TRUE,0,8,31,NA
