"","nest","site","species","lat","lon","prot","estHD","cov_1m","cov_5m","i","j","k","camera","final_fate","cam_fate","fate_date","year","season_day","status","last_obs","same_ID","obs_int","init_date","nest_age"
"1",20005,"RUTW","LETE","29.76762","-93.16486","none",41,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",21,1,FALSE,1,0,22,NA
"2",20005,"RUTW","LETE","29.76762","-93.16486","none",41,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",28,0,TRUE,0,7,22,NA
"3",20006,"RUTW","LETE","29.76767","-93.16515","none",42,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",21,1,FALSE,1,0,23,NA
"4",20006,"RUTW","LETE","29.76767","-93.16515","none",42,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",28,0,TRUE,0,7,23,NA
"5",20007,"RUTW","LETE","29.76786","-93.16615","none",42,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",21,1,FALSE,1,0,23,NA
"6",20007,"RUTW","LETE","29.76786","-93.16615","none",42,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",28,0,TRUE,0,7,23,NA
"7",20008,"RUTW","LETE","29.76837","-93.1684","none",41,NA,NA,21,21,28,FALSE,6,NA,NA,"2020",21,1,FALSE,1,0,22,NA
"8",20008,"RUTW","LETE","29.76837","-93.1684","none",41,NA,NA,21,21,28,FALSE,6,NA,NA,"2020",28,0,TRUE,0,7,22,NA
"9",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",25,1,FALSE,191,0,25,20
"10",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",28,1,FALSE,0,3,25,20
"11",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",30,1,FALSE,0,2,25,20
"12",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",32,1,FALSE,0,2,25,20
"13",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",35,1,FALSE,0,3,25,20
"14",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",37,1,FALSE,0,2,25,20
"15",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",40,1,FALSE,0,3,25,20
"16",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",42,1,FALSE,0,2,25,20
"17",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",44,0,TRUE,0,2,25,20
"18",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",25,1,FALSE,1,0,26,NA
"19",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",28,1,FALSE,0,3,26,NA
"20",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",30,1,FALSE,0,2,26,NA
"21",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",32,1,FALSE,0,2,26,NA
"22",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",35,1,FALSE,0,3,26,NA
"23",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",37,1,FALSE,0,2,26,NA
"24",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",40,1,FALSE,0,3,26,NA
"25",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",42,1,FALSE,0,2,26,NA
"26",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",44,1,FALSE,0,2,26,NA
"27",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",45,0,TRUE,0,1,26,NA
"28",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",25,1,FALSE,1,0,24,NA
"29",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",28,1,FALSE,0,3,24,NA
"30",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",30,1,FALSE,0,2,24,NA
"31",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",32,1,FALSE,0,2,24,NA
"32",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",35,1,FALSE,0,3,24,NA
"33",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",37,1,FALSE,0,2,24,NA
"34",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",40,1,FALSE,0,3,24,NA
"35",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",42,1,FALSE,0,2,24,NA
"36",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",44,0,TRUE,0,2,24,NA
"37",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",25,1,FALSE,1,0,22,NA
"38",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",28,1,FALSE,0,3,22,NA
"39",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",30,1,FALSE,0,2,22,NA
"40",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",32,1,FALSE,0,2,22,NA
"41",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",35,1,FALSE,0,3,22,NA
"42",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",37,1,FALSE,0,2,22,NA
"43",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",40,1,FALSE,0,3,22,NA
"44",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",42,0,TRUE,0,2,22,NA
"45",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",25,1,FALSE,1,0,23,21
"46",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",28,1,FALSE,0,3,23,21
"47",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",30,1,FALSE,0,2,23,21
"48",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",32,1,FALSE,0,2,23,21
"49",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",35,1,FALSE,0,3,23,21
"50",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",37,1,FALSE,0,2,23,21
"51",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",40,1,FALSE,0,3,23,21
"52",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",42,1,FALSE,0,2,23,21
"53",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",44,0,TRUE,0,2,23,21
"54",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",25,1,FALSE,1,0,24,NA
"55",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",28,1,FALSE,0,3,24,NA
"56",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",30,1,FALSE,0,2,24,NA
"57",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",32,1,FALSE,0,2,24,NA
"58",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",35,1,FALSE,0,3,24,NA
"59",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",37,1,FALSE,0,2,24,NA
"60",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",40,1,FALSE,0,3,24,NA
"61",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",42,1,FALSE,0,2,24,NA
"62",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",44,0,TRUE,0,2,24,NA
"63",20206,"RUTE","LETE","29.7584","-93.12087","symbolic",44,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",25,1,FALSE,1,0,25,NA
"64",20206,"RUTE","LETE","29.7584","-93.12087","symbolic",44,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",28,1,FALSE,0,3,25,NA
