"","nest","site","species","lat","lon","prot","estHD","cov_1m","cov_5m","i","j","k","camera","final_fate","cam_fate","fate_date","year","season_day","status","last_obs","same_ID","obs_int","init_date","nest_age","final_obs","lost"
"1",20005,"RUTW","LETE","29.76762","-93.16486","none",41,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",21,"1",FALSE,1,0,22,NA,NA,FALSE
"2",20005,"RUTW","LETE","29.76762","-93.16486","none",41,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",28,"0",TRUE,0,7,22,NA,"fail",FALSE
"3",20006,"RUTW","LETE","29.76767","-93.16515","none",42,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",21,"1",FALSE,1,0,23,NA,NA,FALSE
"4",20006,"RUTW","LETE","29.76767","-93.16515","none",42,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",28,"0",TRUE,0,7,23,NA,"fail",FALSE
"5",20007,"RUTW","LETE","29.76786","-93.16615","none",42,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",21,"1",FALSE,1,0,23,NA,NA,FALSE
"6",20007,"RUTW","LETE","29.76786","-93.16615","none",42,NA,NA,21,21,28,FALSE,3,NA,NA,"2020",28,"0",TRUE,0,7,23,NA,"fail",FALSE
"7",20008,"RUTW","LETE","29.76837","-93.1684","none",41,NA,NA,21,21,28,FALSE,6,NA,NA,"2020",21,"1",FALSE,1,0,22,NA,NA,FALSE
"8",20008,"RUTW","LETE","29.76837","-93.1684","none",41,NA,NA,21,21,28,FALSE,6,NA,NA,"2020",28,"0",TRUE,0,7,22,NA,"fail",FALSE
"9",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",25,"1",FALSE,191,0,25,20,NA,FALSE
"10",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",28,"1",FALSE,0,3,25,20,NA,FALSE
"11",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",30,"1",FALSE,0,2,25,20,NA,FALSE
"12",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",32,"1",FALSE,0,2,25,20,NA,FALSE
"13",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",35,"1",FALSE,0,3,25,20,NA,FALSE
"14",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",37,"1",FALSE,0,2,25,20,NA,FALSE
"15",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",40,"1",FALSE,0,3,25,20,NA,FALSE
"16",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",42,"1",FALSE,0,2,25,20,NA,FALSE
"17",20200,"RUTE","CONI","29.75887","-93.12322","symbolic",41,NA,NA,25,44,44,TRUE,1,1,45,"2020",44,"1",TRUE,0,2,25,20,"hatch",FALSE
"18",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",25,"1",FALSE,1,0,26,NA,NA,FALSE
"19",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",28,"1",FALSE,0,3,26,NA,NA,FALSE
"20",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",30,"1",FALSE,0,2,26,NA,NA,FALSE
"21",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",32,"1",FALSE,0,2,26,NA,NA,FALSE
"22",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",35,"1",FALSE,0,3,26,NA,NA,FALSE
"23",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",37,"1",FALSE,0,2,26,NA,NA,FALSE
"24",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",40,"1",FALSE,0,3,26,NA,NA,FALSE
"25",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",42,"1",FALSE,0,2,26,NA,NA,FALSE
"26",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",44,"1",FALSE,0,2,26,NA,NA,FALSE
"27",20201,"RUTE","LETE","29.75883","-93.12302","symbolic",45,NA,NA,25,45,45,FALSE,1,NA,NA,"2020",45,"1",TRUE,0,1,26,NA,"hatch",FALSE
"28",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",25,"1",FALSE,1,0,24,NA,NA,FALSE
"29",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",28,"1",FALSE,0,3,24,NA,NA,FALSE
"30",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",30,"1",FALSE,0,2,24,NA,NA,FALSE
"31",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",32,"1",FALSE,0,2,24,NA,NA,FALSE
"32",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",35,"1",FALSE,0,3,24,NA,NA,FALSE
"33",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",37,"1",FALSE,0,2,24,NA,NA,FALSE
"34",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",40,"1",FALSE,0,3,24,NA,NA,FALSE
"35",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",42,"1",FALSE,0,2,24,NA,NA,FALSE
"36",20202,"RUTE","LETE","29.75884","-93.12293","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",44,"1",TRUE,0,2,24,NA,"hatch",FALSE
"37",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",25,"1",FALSE,1,0,22,NA,NA,FALSE
"38",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",28,"1",FALSE,0,3,22,NA,NA,FALSE
"39",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",30,"1",FALSE,0,2,22,NA,NA,FALSE
"40",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",32,"1",FALSE,0,2,22,NA,NA,FALSE
"41",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",35,"1",FALSE,0,3,22,NA,NA,FALSE
"42",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",37,"1",FALSE,0,2,22,NA,NA,FALSE
"43",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",40,"1",FALSE,0,3,22,NA,NA,FALSE
"44",20203,"RUTE","LETE","29.75877","-93.1228","symbolic",41,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",42,"1",TRUE,0,2,22,NA,"hatch",FALSE
"45",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",25,"1",FALSE,1,0,23,21,NA,FALSE
"46",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",28,"1",FALSE,0,3,23,21,NA,FALSE
"47",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",30,"1",FALSE,0,2,23,21,NA,FALSE
"48",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",32,"1",FALSE,0,2,23,21,NA,FALSE
"49",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",35,"1",FALSE,0,3,23,21,NA,FALSE
"50",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",37,"1",FALSE,0,2,23,21,NA,FALSE
"51",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",40,"1",FALSE,0,3,23,21,NA,FALSE
"52",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",42,"1",FALSE,0,2,23,21,NA,FALSE
"53",20204,"RUTE","LETE","29.75862","-93.12215","symbolic",42,NA,NA,25,42,44,TRUE,1,1,44,"2020",44,"1",TRUE,0,2,23,21,"H",FALSE
"54",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",25,"1",FALSE,1,0,24,NA,NA,FALSE
"55",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",28,"1",FALSE,0,3,24,NA,NA,FALSE
"56",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",30,"1",FALSE,0,2,24,NA,NA,FALSE
"57",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",32,"1",FALSE,0,2,24,NA,NA,FALSE
"58",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",35,"1",FALSE,0,3,24,NA,NA,FALSE
"59",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",37,"1",FALSE,0,2,24,NA,NA,FALSE
"60",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",40,"1",FALSE,0,3,24,NA,NA,FALSE
"61",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",42,"1",FALSE,0,2,24,NA,NA,FALSE
"62",20205,"RUTE","LETE","29.75834","-93.12122","symbolic",43,NA,NA,25,44,44,FALSE,1,NA,NA,"2020",44,"1",TRUE,0,2,24,NA,"2C",FALSE
"63",20206,"RUTE","LETE","29.7584","-93.12087","symbolic",44,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",25,"1",FALSE,1,0,25,NA,NA,FALSE
"64",20206,"RUTE","LETE","29.7584","-93.12087","symbolic",44,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",28,"1",FALSE,0,3,25,NA,NA,FALSE
"65",20206,"RUTE","LETE","29.7584","-93.12087","symbolic",44,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",30,"1",FALSE,0,2,25,NA,NA,FALSE
"66",20206,"RUTE","LETE","29.7584","-93.12087","symbolic",44,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",32,"1",FALSE,0,2,25,NA,NA,FALSE
"67",20206,"RUTE","LETE","29.7584","-93.12087","symbolic",44,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",35,"1",FALSE,0,3,25,NA,NA,FALSE
"68",20206,"RUTE","LETE","29.7584","-93.12087","symbolic",44,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",37,"1",FALSE,0,2,25,NA,NA,FALSE
"69",20206,"RUTE","LETE","29.7584","-93.12087","symbolic",44,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",40,"1",FALSE,0,3,25,NA,NA,FALSE
"70",20206,"RUTE","LETE","29.7584","-93.12087","symbolic",44,NA,NA,25,42,42,FALSE,1,NA,NA,"2020",42,"1",TRUE,0,2,25,NA,"empty",FALSE
"71",20207,"RUTE","LETE","29.7584","-93.12078","none",45,NA,NA,25,28,30,FALSE,0,NA,NA,"2020",25,"1",FALSE,1,0,26,NA,NA,FALSE
"72",20207,"RUTE","LETE","29.7584","-93.12078","none",45,NA,NA,25,28,30,FALSE,0,NA,NA,"2020",28,"1",FALSE,0,3,26,NA,NA,FALSE
"73",20207,"RUTE","LETE","29.7584","-93.12078","none",45,NA,NA,25,28,30,FALSE,0,NA,NA,"2020",30,"0",TRUE,0,2,26,NA,"0E",FALSE
"74",20211,"RUTW","LETE","29.76726","-93.16264","none",46,NA,NA,28,32,35,FALSE,6,NA,NA,"2020",28,"1",FALSE,1,0,27,NA,NA,FALSE
"75",20211,"RUTW","LETE","29.76726","-93.16264","none",46,NA,NA,28,32,35,FALSE,6,NA,NA,"2020",32,"1",FALSE,0,4,27,NA,NA,FALSE
"76",20211,"RUTW","LETE","29.76726","-93.16264","none",46,NA,NA,28,32,35,FALSE,6,NA,NA,"2020",35,"0",TRUE,0,3,27,NA,"0E",FALSE
"77",20212,"RUTW","LETE","29.7674","-93.16321","none",47,NA,NA,28,32,35,FALSE,6,NA,NA,"2020",28,"1",FALSE,1,0,28,NA,NA,FALSE
"78",20212,"RUTW","LETE","29.7674","-93.16321","none",47,NA,NA,28,32,35,FALSE,6,NA,NA,"2020",32,"1",FALSE,0,4,28,NA,NA,FALSE
"79",20212,"RUTW","LETE","29.7674","-93.16321","none",47,NA,NA,28,32,35,FALSE,6,NA,NA,"2020",35,"0",TRUE,0,3,28,NA,"0E",FALSE
"80",20213,"RUTW","LETE","29.7676","-93.1645","none",45,NA,NA,28,32,35,FALSE,2,NA,NA,"2020",28,"1",FALSE,1,0,26,NA,NA,FALSE
"81",20213,"RUTW","LETE","29.7676","-93.1645","none",45,NA,NA,28,32,35,FALSE,2,NA,NA,"2020",32,"1",FALSE,0,4,26,NA,NA,FALSE
"82",20213,"RUTW","LETE","29.7676","-93.1645","none",45,NA,NA,28,32,35,FALSE,2,NA,NA,"2020",35,"0",TRUE,0,3,26,NA,"0E",FALSE
"83",20215,"RUTW","LETE","29.76802","-93.16669","none",43,NA,NA,28,28,30,FALSE,6,NA,NA,"2020",28,"1",FALSE,1,0,24,NA,NA,FALSE
"84",20215,"RUTW","LETE","29.76802","-93.16669","none",43,NA,NA,28,28,30,FALSE,6,NA,NA,"2020",30,"0",TRUE,0,2,24,NA,"fail",FALSE
"85",20217,"RUTW","LETE","29.76833","-93.16808","none",47,NA,NA,28,32,35,FALSE,2,NA,NA,"2020",28,"1",FALSE,1,0,28,NA,NA,FALSE
"86",20217,"RUTW","LETE","29.76833","-93.16808","none",47,NA,NA,28,32,35,FALSE,2,NA,NA,"2020",32,"1",FALSE,0,4,28,NA,NA,FALSE
"87",20217,"RUTW","LETE","29.76833","-93.16808","none",47,NA,NA,28,32,35,FALSE,2,NA,NA,"2020",35,"0",TRUE,0,3,28,NA,"0E",FALSE
"88",20218,"RUTW","LETE","29.76847","-93.16855","none",41,NA,NA,28,42,44,TRUE,8,1,44,"2020",28,"1",FALSE,1,0,22,22,NA,FALSE
"89",20218,"RUTW","LETE","29.76847","-93.16855","none",41,NA,NA,28,42,44,TRUE,8,1,44,"2020",32,"1",FALSE,0,4,22,22,NA,FALSE
"90",20218,"RUTW","LETE","29.76847","-93.16855","none",41,NA,NA,28,42,44,TRUE,8,1,44,"2020",35,"1",FALSE,0,3,22,22,NA,FALSE
"91",20218,"RUTW","LETE","29.76847","-93.16855","none",41,NA,NA,28,42,44,TRUE,8,1,44,"2020",37,"1",FALSE,0,2,22,22,NA,FALSE
"92",20218,"RUTW","LETE","29.76847","-93.16855","none",41,NA,NA,28,42,44,TRUE,8,1,44,"2020",40,"1",FALSE,0,3,22,22,NA,FALSE
"93",20218,"RUTW","LETE","29.76847","-93.16855","none",41,NA,NA,28,42,44,TRUE,8,1,44,"2020",42,"1",FALSE,0,2,22,22,NA,FALSE
"94",20218,"RUTW","LETE","29.76847","-93.16855","none",41,NA,NA,28,42,44,TRUE,8,1,44,"2020",44,"1",TRUE,0,2,22,22,"1E",FALSE
"95",20219,"RUTW","LETE","29.76856","-93.16946","none",43,NA,NA,28,37,40,FALSE,0,NA,NA,"2020",28,"1",FALSE,1,0,24,NA,NA,FALSE
"96",20219,"RUTW","LETE","29.76856","-93.16946","none",43,NA,NA,28,37,40,FALSE,0,NA,NA,"2020",30,"1",FALSE,0,2,24,NA,NA,FALSE
"97",20219,"RUTW","LETE","29.76856","-93.16946","none",43,NA,NA,28,37,40,FALSE,0,NA,NA,"2020",32,"1",FALSE,0,2,24,NA,NA,FALSE
"98",20219,"RUTW","LETE","29.76856","-93.16946","none",43,NA,NA,28,37,40,FALSE,0,NA,NA,"2020",35,"1",FALSE,0,3,24,NA,NA,FALSE
"99",20219,"RUTW","LETE","29.76856","-93.16946","none",43,NA,NA,28,37,40,FALSE,0,NA,NA,"2020",37,"1",FALSE,0,2,24,NA,NA,FALSE
"100",20219,"RUTW","LETE","29.76856","-93.16946","none",43,NA,NA,28,37,40,FALSE,0,NA,NA,"2020",40,"0",TRUE,0,3,24,NA,"0E",FALSE
"101",20220,"RUTW","LETE","29.77005","-93.17725","none",46,NA,NA,28,42,44,FALSE,0,NA,NA,"2020",28,"1",FALSE,1,0,27,NA,NA,FALSE
"102",20220,"RUTW","LETE","29.77005","-93.17725","none",46,NA,NA,28,42,44,FALSE,0,NA,NA,"2020",32,"1",FALSE,0,4,27,NA,NA,FALSE
"103",20220,"RUTW","LETE","29.77005","-93.17725","none",46,NA,NA,28,42,44,FALSE,0,NA,NA,"2020",35,"1",FALSE,0,3,27,NA,NA,FALSE
"104",20220,"RUTW","LETE","29.77005","-93.17725","none",46,NA,NA,28,42,44,FALSE,0,NA,NA,"2020",37,"1",FALSE,0,2,27,NA,NA,FALSE
"105",20220,"RUTW","LETE","29.77005","-93.17725","none",46,NA,NA,28,42,44,FALSE,0,NA,NA,"2020",40,"1",FALSE,0,3,27,NA,NA,FALSE
"106",20220,"RUTW","LETE","29.77005","-93.17725","none",46,NA,NA,28,42,44,FALSE,0,NA,NA,"2020",42,"1",FALSE,0,2,27,NA,NA,FALSE
"107",20220,"RUTW","LETE","29.77005","-93.17725","none",46,NA,NA,28,42,44,FALSE,0,NA,NA,"2020",44,"0",TRUE,0,2,27,NA,"0E",FALSE
"108",20221,"RUTW","LETE","29.77026","-93.17843","none",44,NA,NA,28,44,44,TRUE,7,NA,NA,"2020",28,"1",FALSE,1,0,25,NA,NA,FALSE
"109",20221,"RUTW","LETE","29.77026","-93.17843","none",44,NA,NA,28,44,44,TRUE,7,NA,NA,"2020",32,"1",FALSE,0,4,25,NA,NA,FALSE
"110",20221,"RUTW","LETE","29.77026","-93.17843","none",44,NA,NA,28,44,44,TRUE,7,NA,NA,"2020",35,"1",FALSE,0,3,25,NA,NA,FALSE
"111",20221,"RUTW","LETE","29.77026","-93.17843","none",44,NA,NA,28,44,44,TRUE,7,NA,NA,"2020",37,"1",FALSE,0,2,25,NA,NA,FALSE
"112",20221,"RUTW","LETE","29.77026","-93.17843","none",44,NA,NA,28,44,44,TRUE,7,NA,NA,"2020",40,"1",FALSE,0,3,25,NA,NA,FALSE
"113",20221,"RUTW","LETE","29.77026","-93.17843","none",44,NA,NA,28,44,44,TRUE,7,NA,NA,"2020",42,"1",FALSE,0,2,25,NA,NA,FALSE
"114",20221,"RUTW","LETE","29.77026","-93.17843","none",44,NA,NA,28,44,44,TRUE,7,NA,NA,"2020",44,"1",TRUE,0,2,25,NA,"2E",FALSE
"115",20231,"RUTW","CONI","29.76418","-93.14487","none",40,NA,NA,30,44,45,FALSE,1,NA,NA,"2020",30,"1",FALSE,1,0,24,NA,NA,FALSE
"116",20231,"RUTW","CONI","29.76418","-93.14487","none",40,NA,NA,30,44,45,FALSE,1,NA,NA,"2020",32,"1",FALSE,0,2,24,NA,NA,FALSE
"117",20231,"RUTW","CONI","29.76418","-93.14487","none",40,NA,NA,30,44,45,FALSE,1,NA,NA,"2020",35,"1",FALSE,0,3,24,NA,NA,FALSE
"118",20231,"RUTW","CONI","29.76418","-93.14487","none",40,NA,NA,30,44,45,FALSE,1,NA,NA,"2020",37,"1",FALSE,0,2,24,NA,NA,FALSE
"119",20231,"RUTW","CONI","29.76418","-93.14487","none",40,NA,NA,30,44,45,FALSE,1,NA,NA,"2020",40,"1",FALSE,0,3,24,NA,NA,FALSE
"120",20231,"RUTW","CONI","29.76418","-93.14487","none",40,NA,NA,30,44,45,FALSE,1,NA,NA,"2020",42,"1",FALSE,0,2,24,NA,NA,FALSE
"121",20231,"RUTW","CONI","29.76418","-93.14487","none",40,NA,NA,30,44,45,FALSE,1,NA,NA,"2020",44,"1",FALSE,0,2,24,NA,NA,FALSE
"122",20231,"RUTW","CONI","29.76418","-93.14487","none",40,NA,NA,30,44,45,FALSE,1,NA,NA,"2020",45,"1",TRUE,0,1,24,NA,"1E",FALSE
"123",20233,"RUTW","LETE","29.76543","-93.15392","none",51,NA,NA,35,40,42,FALSE,0,NA,NA,"2020",35,"1",FALSE,1,0,32,NA,NA,FALSE
"124",20233,"RUTW","LETE","29.76543","-93.15392","none",51,NA,NA,35,40,42,FALSE,0,NA,NA,"2020",37,"1",FALSE,0,2,32,NA,NA,FALSE
"125",20233,"RUTW","LETE","29.76543","-93.15392","none",51,NA,NA,35,40,42,FALSE,0,NA,NA,"2020",40,"1",FALSE,0,3,32,NA,NA,FALSE
