"","...1","nest","site","species","lat","lon","prot","estHD","cov_1m","cov_5m","i","j","k","camera","final_fate","cam_fate","fate_date","year","season_day","status","last_obs","same_ID","obs_int","init_date","final_obs","nest_age","lost"
"1","2",30003,"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",18,"1",NA,2,0,17,NA,NA,FALSE
"2","2",30003,"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",21,"1",NA,0,3,17,NA,NA,FALSE
"3","2",30003,"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",23,"1",NA,0,2,17,NA,NA,FALSE
"4","2",30003,"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",28,"1",NA,0,5,17,NA,NA,FALSE
"5","2",30003,"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",32,"1",NA,0,4,17,NA,NA,FALSE
"6","2",30003,"RUTE","LETE","29.75687","-93.11149","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",40,"0",NA,0,8,17,NA,NA,FALSE
"7","3",30004,"RUTE","LETE","29.75637","-93.10946","fenced",37,0,0,28,28,32,NA,2,NA,NA,"2021",18,"1",FALSE,1,0,18,NA,NA,FALSE
"8","3",30004,"RUTE","LETE","29.75637","-93.10946","fenced",37,0,0,28,28,32,NA,2,NA,NA,"2021",21,"1",FALSE,0,3,18,NA,NA,FALSE
"9","3",30004,"RUTE","LETE","29.75637","-93.10946","fenced",37,0,0,28,28,32,NA,2,NA,NA,"2021",23,"1",FALSE,0,2,18,NA,NA,FALSE
"10","3",30004,"RUTE","LETE","29.75637","-93.10946","fenced",37,0,0,28,28,32,NA,2,NA,NA,"2021",28,"1",FALSE,0,5,18,NA,NA,FALSE
"11","3",30004,"RUTE","LETE","29.75637","-93.10946","fenced",37,0,0,28,28,32,NA,2,NA,NA,"2021",32,"0",TRUE,0,4,18,"D",NA,FALSE
"12","5",30006,"RUTW","LETE","29.77030","-93.17450","none",37,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",21,"1",NA,1,0,18,NA,NA,FALSE
"13","5",30006,"RUTW","LETE","29.77030","-93.17450","none",37,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",25,"1",NA,0,4,18,NA,NA,FALSE
"14","5",30006,"RUTW","LETE","29.77030","-93.17450","none",37,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",31,"0",NA,0,6,18,NA,NA,FALSE
"15","6",30007,"RUTW","LETE","29.77032","-93.17455","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",21,"1",NA,1,0,19,NA,NA,FALSE
"16","6",30007,"RUTW","LETE","29.77032","-93.17455","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",25,"1",NA,0,4,19,NA,NA,FALSE
"17","6",30007,"RUTW","LETE","29.77032","-93.17455","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",31,"0",NA,0,6,19,NA,NA,FALSE
"18","8",30009,"RUTW","LETE","29.77083","-93.17630","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",21,"1",NA,1,0,19,NA,NA,FALSE
"19","8",30009,"RUTW","LETE","29.77083","-93.17630","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",25,"1",NA,0,4,19,NA,NA,FALSE
"20","8",30009,"RUTW","LETE","29.77083","-93.17630","none",38,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",31,"0",NA,0,6,19,NA,NA,FALSE
"21","9",30010,"RUTE","LETE","29.75705","-93.11244","fenced",37,NA,NA,28,28,32,NA,2,NA,NA,"2021",21,"1",FALSE,1,0,18,NA,NA,FALSE
"22","9",30010,"RUTE","LETE","29.75705","-93.11244","fenced",37,NA,NA,28,28,32,NA,2,NA,NA,"2021",28,"1",FALSE,0,7,18,NA,NA,FALSE
