"","nest","site","species","lat","lon","prot","estHD","cov_1m","cov_5m","i","j","k","camera","final_fate","cam_fate","fate_date","year","j_7","j_8","j_9","j_11","j_12","j_13","j_14","j_15","j_16","j_17","j_18","j_19","j_20","j_21","j_22","j_23","j_24","j_25","j_26","j_28","j_29","j_30","j_31","j_32","j_33","j_34","j_35","j_36","j_37","j_38","j_39","j_40","j_41","j_42","j_43","j_44","j_45","j_46","j_47","j_48","j_49","j_50","j_51","j_52","j_53","j_54","j_55","j_56","j_57","j_58","j_59","j_60","j_61","j_62","j_63","j_64","j_65","j_66","j_67","j_68","j_69","j_70","j_71","j_73","j_74","j_75","j_76","j_77","j_78","j_79","j_80","j_81","j_82","j_83","j_84","j_85","j_86","j_87","j_88","j_89","j_90","j_91","j_92","j_93","j_94","j_95","j_96","j_97","j_98","j_99","j_100","j_101","j_102","j_103","j_104","j_105","j_108","j_109","j_112","j_115","j_118","j_121","j_125","j_128","j_132","j_135","j_139"
"1","30001","RUTW","WIPL","29.77115","-93.18078","none","5/19/2021","20","30",NA,NA,NA,NA,"H",NA,NA,"2021",NA,NA,NA,NA,NA,"2E",NA,NA,NA,"3E",NA,NA,NA,"3E",NA,NA,NA,"3E",NA,NA,NA,NA,"3E",NA,NA,NA,NA,"3E",NA,NA,"3E",NA,NA,NA,"0E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","30003","RUTE","LETE","29.75687","-93.11149","fenced","5/19/2021","0","0",NA,NA,NA,NA,"U",NA,NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1E",NA,NA,"2E",NA,"2E",NA,NA,NA,"2E",NA,NA,NA,"2E",NA,NA,NA,NA,NA,NA,NA,"0E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","30004","RUTE","LETE","29.75637","-93.10946","fenced","5/20/2021","0","0","41","41","45",NA,"D",NA,NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1E",NA,NA,"2E",NA,"2E",NA,NA,NA,"2E",NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","30005","RUTW","WIPL","29.76840","-93.16471","none","5/16/2021","0","0",NA,NA,NA,NA,"H",NA,NA,"2021",NA,NA,NA,NA,NA,"3E",NA,NA,NA,NA,NA,NA,NA,"3E",NA,NA,NA,"3E",NA,NA,NA,NA,"3E",NA,"2C",NA,NA,"0E",NA,NA,NA,NA,NA,NA,"0E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","30006","RUTW","LETE","29.77030","-93.17450","none","5/20/2021",NA,NA,NA,NA,NA,NA,"D",NA,NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2E",NA,NA,NA,"2E",NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","30007","RUTW","LETE","29.77032","-93.17455","none","5/21/2021",NA,NA,NA,NA,NA,NA,"D",NA,NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2E",NA,NA,NA,"2E",NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","30008","RUTW","LETE","29.77083","-93.17627","none","5/23/2021",NA,NA,NA,NA,NA,NA,"W",NA,NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1E",NA,NA,NA,"2E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","30009","RUTW","LETE","29.77083","-93.17630","none","5/21/2021",NA,NA,NA,NA,NA,NA,"D",NA,NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2E",NA,NA,NA,"2E",NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","30010","RUTE","LETE","29.75705","-93.11244","fenced","5/20/2021",NA,NA,"41","41","45",NA,"D",NA,NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E",NA,NA,NA,NA,NA,"3E",NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","30011","RUTW","LETE","29.77003","-93.17354","none","5/20/2021","5","20",NA,NA,NA,NA,"D",NA,NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E",NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
